Protein1163	class I MHC B8	UniProt:P30460 HLA-B	Reactome DB_ID: 1236733	phagocytic vesicle membrane	
Protein1164	class I MHC B81	UniProt:Q31610 HLA-B	Reactome DB_ID: 1236786	phagocytic vesicle membrane	
Protein1165	class I MHC B82	UniProt:Q29718 HLA-B	Reactome DB_ID: 1236871	phagocytic vesicle membrane	
Protein1166	HLA-C	UniProt:P30499 HLA-C	Reactome DB_ID: 2220924	phagocytic vesicle membrane	
Protein1167	HLA-C	UniProt:P30508 HLA-C	Reactome DB_ID: 2220922	phagocytic vesicle membrane	
Protein1168	HLA-C	UniProt:P30510 HLA-C	Reactome DB_ID: 2220916	phagocytic vesicle membrane	
Protein1169	HLA-C	UniProt:Q07000 HLA-C	Reactome DB_ID: 2220923	phagocytic vesicle membrane	
Protein117	LYN	UniProt:P07948 LYN	Reactome DB_ID: 354251	cytosol	
Protein1170	HLA-C	UniProt:Q29960 HLA-C	Reactome DB_ID: 2220919	phagocytic vesicle membrane	
Protein1171	HLA-C	UniProt:Q95604 HLA-C	Reactome DB_ID: 2220921	phagocytic vesicle membrane	
Protein1172	HLA-C	UniProt:Q29865 HLA-C	Reactome DB_ID: 2220925	phagocytic vesicle membrane	
Protein1173	HLA-C	UniProt:P30501 HLA-C	Reactome DB_ID: 2220918	phagocytic vesicle membrane	
Protein1174	HLA-C	UniProt:P30505 HLA-C	Reactome DB_ID: 2220920	phagocytic vesicle membrane	
Protein1175	HLA-A	UniProt:P13746 HLA-A	Reactome DB_ID: 3318282	phagocytic vesicle membrane	
Protein1176	HLA-A	UniProt:P30447 HLA-A	Reactome DB_ID: 3318293	phagocytic vesicle membrane	
Protein1177	HLA-A	UniProt:P05534 HLA-A	Reactome DB_ID: 3318284	phagocytic vesicle membrane	
Protein1178	HLA-A	UniProt:P18462 HLA-A	Reactome DB_ID: 3318287	phagocytic vesicle membrane	
Protein1179	HLA-A	UniProt:P30450 HLA-A	Reactome DB_ID: 3318290	phagocytic vesicle membrane	
Protein118	YES1	UniProt:P07947 YES1	Reactome DB_ID: 373640	cytosol	
Protein1180	HLA-A	UniProt:P30512 HLA-A	Reactome DB_ID: 3318286	phagocytic vesicle membrane	
Protein1181	HLA-A	UniProt:P16188 HLA-A	Reactome DB_ID: 3318298	phagocytic vesicle membrane	
Protein1182	HLA-A	UniProt:P16189 HLA-A	Reactome DB_ID: 3318295	phagocytic vesicle membrane	
Protein1183	HLA-A	UniProt:P10314 HLA-A	Reactome DB_ID: 3318300	phagocytic vesicle membrane	
Protein1184	HLA-A	UniProt:P16190 HLA-A	Reactome DB_ID: 3318289	phagocytic vesicle membrane	
Protein1185	HLA-A	UniProt:P30453 HLA-A	Reactome DB_ID: 3318297	phagocytic vesicle membrane	
Protein1186	HLA-A	UniProt:P30455 HLA-A	Reactome DB_ID: 3318299	phagocytic vesicle membrane	
Protein1187	HLA-A	UniProt:P30456 HLA-A	Reactome DB_ID: 3318294	phagocytic vesicle membrane	
Protein1188	HLA-A	UniProt:P30457 HLA-A	Reactome DB_ID: 3318288	phagocytic vesicle membrane	
Protein1189	HLA-A	UniProt:P01891 HLA-A	Reactome DB_ID: 3318283	phagocytic vesicle membrane	
Protein119	SRC1	UniProt:P12931-1 SRC	Reactome DB_ID: 354153	cytosol	
Protein1190	HLA-A	UniProt:P10316 HLA-A	Reactome DB_ID: 3318292	phagocytic vesicle membrane	
Protein1191	HLA-A	UniProt:P30459 HLA-A	Reactome DB_ID: 3318285	phagocytic vesicle membrane	
Protein1192	HLA-A	UniProt:Q09160 HLA-A	Reactome DB_ID: 3318296	phagocytic vesicle membrane	
Protein1193	B2M(21-119)	UniProt:P61769 B2M	Reactome DB_ID: 1236891	phagocytic vesicle membrane	
Protein1194	PDIA3	UniProt:P30101 PDIA3	Reactome DB_ID: 1236870	phagocytic vesicle	
Protein1195	CALR	UniProt:P27797 CALR	Reactome DB_ID: 1236879	phagocytic vesicle membrane	
Protein1197	CTSS	UniProt:P25774 CTSS	Reactome DB_ID: 1236751	early endosome lumen	
Protein1198	CTSL2	UniProt:O60911 CTSL2	Reactome DB_ID: 4127471	early endosome lumen	
Protein1199	CTSL1	UniProt:P07711 CTSL1	Reactome DB_ID: 4127474	early endosome lumen	
Protein12	HLA-DRB1	UniProt:Q30167 HLA-DRB1	Reactome DB_ID: 1235082	plasma membrane	
Protein1201	HLA-A	UniProt:P30443 HLA-A	Reactome DB_ID: 1236792	early endosome membrane	
Protein1202	HLA class I histocompatibility antigen, A-2 alpha chain	UniProt:P01892 HLA-A	Reactome DB_ID: 182267	early endosome membrane	
Protein1203	HLA-A	UniProt:P04439 HLA-A	Reactome DB_ID: 1236826	early endosome membrane	
Protein1204	HLA-C	UniProt:P04222 HLA-C	Reactome DB_ID: 1236731	early endosome membrane	
Protein1205	HLA-C	UniProt:P30504 HLA-C	Reactome DB_ID: 1236865	early endosome membrane	
Protein1206	HLA-C	UniProt:Q9TNN7 HLA-C	Reactome DB_ID: 1236741	early endosome membrane	
Protein1207	HLA-C	UniProt:Q29963 HLA-C	Reactome DB_ID: 1236824	early endosome membrane	
Protein1208	HLA-C	UniProt:P10321 HLA-C	Reactome DB_ID: 1236799	early endosome membrane	
Protein1209	HLA-E	UniProt:P13747 HLA-E	Reactome DB_ID: 1236744	early endosome membrane	
Protein121	PIK3R3	UniProt:Q92569 PIK3R3	Reactome DB_ID: 205223	cytosol	
Protein1210	HLA-F	UniProt:P30511 HLA-F	Reactome DB_ID: 1236895	early endosome membrane	
Protein1211	HLA-G	UniProt:P17693 HLA-G	Reactome DB_ID: 1236831	early endosome membrane	
Protein1212	class I MHC B13	UniProt:P30461 HLA-B	Reactome DB_ID: 1236807	early endosome membrane	
Protein1213	class I MHC B14	UniProt:P30462 HLA-B	Reactome DB_ID: 1236846	early endosome membrane	
Protein1214	class I MHC B15	UniProt:P30464 HLA-B	Reactome DB_ID: 1236794	early endosome membrane	
Protein1215	class I MHC B18	UniProt:P30466 HLA-B	Reactome DB_ID: 1236830	early endosome membrane	
Protein1216	class I MHC B27	UniProt:P03989 HLA-B	Reactome DB_ID: 1236869	early endosome membrane	
Protein1217	class I MHC B35	UniProt:P30685 HLA-B	Reactome DB_ID: 1236764	early endosome membrane	
Protein1218	class I MHC B37	UniProt:P18463 HLA-B	Reactome DB_ID: 1236797	early endosome membrane	
Protein1219	class I MHC B38	UniProt:Q95365 HLA-B	Reactome DB_ID: 1236737	early endosome membrane	
Protein1220	class I MHC B39	UniProt:P30475 HLA-B	Reactome DB_ID: 1236875	early endosome membrane	
Protein1221	class I MHC B40	UniProt:Q04826 HLA-B	Reactome DB_ID: 1236784	early endosome membrane	
Protein1222	class I MHC B41	UniProt:P30479 HLA-B	Reactome DB_ID: 1236754	early endosome membrane	
Protein1223	class I MHC B42	UniProt:P30480 HLA-B	Reactome DB_ID: 1236889	early endosome membrane	
Protein1224	class I MHC B44	UniProt:P30481 HLA-B	Reactome DB_ID: 1236896	early endosome membrane	
Protein1225	class I MHC B45	UniProt:P30483 HLA-B	Reactome DB_ID: 1236842	early endosome membrane	
Protein1226	class I MHC B46	UniProt:P30484 HLA-B	Reactome DB_ID: 1236840	early endosome membrane	
Protein1227	class I MHC B47	UniProt:P30485 HLA-B	Reactome DB_ID: 1236748	early endosome membrane	
Protein1228	class I MHC B49	UniProt:P30487 HLA-B	Reactome DB_ID: 1236880	early endosome membrane	
Protein1229	class I MHC B50	UniProt:P30488 HLA-B	Reactome DB_ID: 1236843	early endosome membrane	
Protein123	PKB	UniProt:P31749 AKT1	Reactome DB_ID: 58252	cytosol	
Protein1230	class I MHC B51	UniProt:P18464 HLA-B	Reactome DB_ID: 1236833	early endosome membrane	
Protein1231	class I MHC B52	UniProt:P30490 HLA-B	Reactome DB_ID: 1236841	early endosome membrane	
Protein1232	class I MHC B53	UniProt:P30491 HLA-B	Reactome DB_ID: 1236763	early endosome membrane	
Protein1233	class I MHC B54	UniProt:P30492 HLA-B	Reactome DB_ID: 1236848	early endosome membrane	
Protein1234	class I MHC B55	UniProt:P30493 HLA-B	Reactome DB_ID: 1236768	early endosome membrane	
Protein1235	class I MHC B56	UniProt:P30495 HLA-B	Reactome DB_ID: 1236861	early endosome membrane	
Protein1236	class I MHC B57	UniProt:P18465 HLA-B	Reactome DB_ID: 1236779	early endosome membrane	
Protein1237	class I MHC B58	UniProt:P10319 HLA-B	Reactome DB_ID: 1236780	early endosome membrane	
Protein1238	class I MHC B59	UniProt:Q29940 HLA-B	Reactome DB_ID: 1236897	early endosome membrane	
Protein1239	class I MHC B67	UniProt:Q29836 HLA-B	Reactome DB_ID: 1236851	early endosome membrane	
Protein124	AKT3	UniProt:Q9Y243 AKT3	Reactome DB_ID: 2976007	cytosol	
Protein1240	class I MHC B7	UniProt:P01889 HLA-B	Reactome DB_ID: 1236872	early endosome membrane	
Protein1241	class I MHC B73	UniProt:Q31612 HLA-B	Reactome DB_ID: 1236765	early endosome membrane	
Protein1242	class I MHC B78	UniProt:P30498 HLA-B	Reactome DB_ID: 1236735	early endosome membrane	
Protein1243	class I MHC B8	UniProt:P30460 HLA-B	Reactome DB_ID: 1236819	early endosome membrane	
