Protein272	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076600	Golgi lumen	
Protein273	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076279	Golgi lumen	
Protein274	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076560	Golgi lumen	
Protein275	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076584	Golgi lumen	
Protein276	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076378	Golgi lumen	
Protein277	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2076585	Golgi lumen	
Protein278	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2076349	Golgi lumen	
Protein279	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2076536	Golgi lumen	
Protein28	PAPST2	UniProt:Q9H1N7 SLC35B3	Reactome DB_ID: 3465610	Golgi membrane	
Protein280	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2076516	Golgi lumen	
Protein281	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076394	Golgi lumen	
Protein283	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2076301	Golgi lumen	
Protein284	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2076501	Golgi lumen	
Protein285	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076455	Golgi lumen	
Protein286	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076409	Golgi lumen	
Protein287	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076555	Golgi lumen	
Protein288	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076482	Golgi lumen	
Protein289	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076415	Golgi lumen	
Protein29	HFRC	UniProt:Q76EJ3 SLC35D2	Reactome DB_ID: 744235	Golgi membrane	
Protein290	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2076335	Golgi lumen	
Protein291	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2076558	Golgi lumen	
Protein292	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2076397	Golgi lumen	
Protein293	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2076487	Golgi lumen	
Protein294	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076446	Golgi lumen	
Protein296	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2076569	Golgi lumen	
Protein297	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2076503	Golgi lumen	
Protein298	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076485	Golgi lumen	
Protein299	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076311	Golgi lumen	
Protein3	HAS3	UniProt:O00219 HAS3	Reactome DB_ID: 2142853	plasma membrane	
Protein300	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076612	Golgi lumen	
Protein301	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076376	Golgi lumen	
Protein302	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076497	Golgi lumen	
Protein303	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2076334	Golgi lumen	
Protein304	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2076314	Golgi lumen	
Protein305	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2076361	Golgi lumen	
Protein306	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2076389	Golgi lumen	
Protein307	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076460	Golgi lumen	
Protein309	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2076300	Golgi lumen	
Protein31	ACAN	UniProt:P16112 ACAN	Reactome DB_ID: 2046164	Golgi lumen	
Protein310	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2076605	Golgi lumen	
Protein311	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076316	Golgi lumen	
Protein312	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076377	Golgi lumen	
Protein313	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076440	Golgi lumen	
Protein314	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076556	Golgi lumen	
Protein315	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076549	Golgi lumen	
Protein316	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2076395	Golgi lumen	
Protein317	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2076339	Golgi lumen	
Protein318	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2076576	Golgi lumen	
Protein319	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2076427	Golgi lumen	
Protein32	FMOD	UniProt:Q06828 FMOD	Reactome DB_ID: 2046263	Golgi lumen	
Protein320	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076613	Golgi lumen	
Protein322	NDST1	UniProt:P52848 NDST1	Reactome DB_ID: 2022869	Golgi membrane	
Protein323	NDST2	UniProt:P52849 NDST2	Reactome DB_ID: 2022933	Golgi membrane	
Protein324	NDST3	UniProt:O95803 NDST3	Reactome DB_ID: 2022861	Golgi membrane	
Protein325	NDST4	UniProt:Q9H3R1 NDST4	Reactome DB_ID: 2022925	Golgi membrane	
Protein327	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2076350	Golgi lumen	
Protein328	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2076424	Golgi lumen	
Protein329	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076325	Golgi lumen	
Protein33	KERA	UniProt:O60938 KERA	Reactome DB_ID: 2046150	Golgi lumen	
Protein330	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076471	Golgi lumen	
Protein331	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076401	Golgi lumen	
Protein332	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076486	Golgi lumen	
Protein333	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076402	Golgi lumen	
Protein334	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2076366	Golgi lumen	
Protein335	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2076321	Golgi lumen	
Protein336	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2076607	Golgi lumen	
Protein337	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2076388	Golgi lumen	
Protein338	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076434	Golgi lumen	
Protein34	LUM	UniProt:P51884 LUM	Reactome DB_ID: 2046297	Golgi lumen	
Protein340	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2076521	Golgi lumen	
Protein341	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2076296	Golgi lumen	
Protein342	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076354	Golgi lumen	
Protein343	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076413	Golgi lumen	
Protein344	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076336	Golgi lumen	
Protein345	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076459	Golgi lumen	
Protein346	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076324	Golgi lumen	
Protein347	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2076426	Golgi lumen	
Protein348	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2076309	Golgi lumen	
Protein349	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2076603	Golgi lumen	
Protein35	OGN	UniProt:P20774 OGN	Reactome DB_ID: 2046182	Golgi lumen	
Protein350	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2076365	Golgi lumen	
Protein351	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076411	Golgi lumen	
Protein352	GLCE	UniProt:O94923 GLCE	Reactome DB_ID: 2024106	Golgi membrane	
Protein354	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2076493	Golgi lumen	
Protein355	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2076340	Golgi lumen	
Protein356	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076289	Golgi lumen	
Protein357	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076507	Golgi lumen	
Protein358	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076439	Golgi lumen	
Protein359	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076544	Golgi lumen	
Protein36	OMD	UniProt:Q99983 OMD	Reactome DB_ID: 2046273	Golgi lumen	
Protein360	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076511	Golgi lumen	
Protein361	HSPG2	UniProt:P98160 HSPG2	Reactome DB_ID: 2076384	Golgi lumen	
Protein362	SDC1	UniProt:P18827 SDC1	Reactome DB_ID: 2076444	Golgi lumen	
Protein363	SDC2	UniProt:P34741 SDC2	Reactome DB_ID: 2076443	Golgi lumen	
