Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein192	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein193	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein194	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein195	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein196	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein197	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein198	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein199	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein200	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein201	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein202	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein203	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein204	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein205	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein206	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein207	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein208	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein209	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein210	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein211	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein212	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein213	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein214	
Protein191	Cleaved collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2470796	Protein215	
Protein20	MMP1,2,3	extracellular region	Reactome DB_ID: 2470302	Protein2	
Protein20	MMP1,2,3	extracellular region	Reactome DB_ID: 2470302	Protein5	
Protein20	MMP1,2,3	extracellular region	Reactome DB_ID: 2470302	Protein10	
Protein216	MMP9,13	extracellular region	Reactome DB_ID: 2470800	Protein3	
Protein216	MMP9,13	extracellular region	Reactome DB_ID: 2470800	Protein12	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein218	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein219	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein220	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein221	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein222	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein223	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein224	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein225	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein226	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein227	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein228	
Protein217	Endostatin-XV	extracellular region	Reactome DB_ID: 2484944	Protein229	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein23	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein24	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein25	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein26	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein27	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein28	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein29	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein30	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein31	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein32	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein33	
Protein22	Collagen alpha-2(IX) chains	extracellular region	Reactome DB_ID: 2193011	Protein34	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein231	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein232	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein233	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein234	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein235	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein236	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein237	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein238	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein239	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein240	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein241	
Protein230	Collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2192829	Protein242	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein244	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein245	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein246	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein247	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein248	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein249	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein250	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein251	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein252	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein253	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein254	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein255	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein256	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein257	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein258	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein259	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein260	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein261	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein262	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein263	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein264	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein265	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein266	
Protein243	Cleaved collagen alpha-1(XVI) chains	extracellular region	Reactome DB_ID: 2470818	Protein267	
Protein268	Endostatin	extracellular region	Reactome DB_ID: 2470878	Protein269	
Protein268	Endostatin	extracellular region	Reactome DB_ID: 2470878	Protein270	
Protein268	Endostatin	extracellular region	Reactome DB_ID: 2470878	Protein271	
Protein268	Endostatin	extracellular region	Reactome DB_ID: 2470878	Protein272	
Protein268	Endostatin	extracellular region	Reactome DB_ID: 2470878	Protein273	
Protein268	Endostatin	extracellular region	Reactome DB_ID: 2470878	Protein274	
Protein268	Endostatin	extracellular region	Reactome DB_ID: 2470878	Protein275	
Protein268	Endostatin	extracellular region	Reactome DB_ID: 2470878	Protein276	
