PhysicalEntity1	BAP31 oligomer	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983323	NA	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein150	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein151	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein152	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein153	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein154	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein155	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein156	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein157	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein158	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein159	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein160	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein161	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein162	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein163	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein164	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein165	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein166	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein167	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein168	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein169	
