BiochemicalReaction29	AOX1 oxidises PXL to PDXate	SmallMolecule24	SmallMolecule50	
BiochemicalReaction29	AOX1 oxidises PXL to PDXate	SmallMolecule24	SmallMolecule52	
BiochemicalReaction29	AOX1 oxidises PXL to PDXate	SmallMolecule49	SmallMolecule52	
BiochemicalReaction29	AOX1 oxidises PXL to PDXate	SmallMolecule42	SmallMolecule52	
BiochemicalReaction3	CYB5A:heme reduces SDA to VitC	Complex1	SmallMolecule5	
BiochemicalReaction3	CYB5A:heme reduces SDA to VitC	SmallMolecule8	SmallMolecule5	
BiochemicalReaction3	CYB5A:heme reduces SDA to VitC	SmallMolecule8	Complex2	
BiochemicalReaction3	CYB5A:heme reduces SDA to VitC	Complex1	Complex2	
BiochemicalReaction30	TCN1 binds Cbl	Protein37	Complex19	
BiochemicalReaction30	TCN1 binds Cbl	Complex18	Complex19	
BiochemicalReaction30	TCN1 binds Cbl	Complex18	PhysicalEntity2	
BiochemicalReaction30	TCN1 binds Cbl	Protein37	PhysicalEntity2	
BiochemicalReaction31	Pancreatic proteases degrade TCN1:Cbl	Complex19	SmallMolecule55	
BiochemicalReaction32	GIF binds Cbl	SmallMolecule55	Complex22	
BiochemicalReaction32	GIF binds Cbl	Protein46	Complex22	
BiochemicalReaction33	CUBN:AMN binds GIF:Cbl	Complex22	Complex24	
BiochemicalReaction33	CUBN:AMN binds GIF:Cbl	Complex23	Complex24	
BiochemicalReaction34	CUBN:AMN transports extracellular GIF:Cbl to endosome	Complex24	Complex25	
BiochemicalReaction34	CUBN:AMN transports extracellular GIF:Cbl to endosome	Complex24	Complex26	
BiochemicalReaction35	Endosomal GIF:Cbl translocates to lysosome	Complex25	Complex27	
BiochemicalReaction36	GIF:Cbl is degraded to release Cbl	Complex27	SmallMolecule57	
BiochemicalReaction37	LMBRD1 transports lysosomal Cbl to cytosol	SmallMolecule57	SmallMolecule58	
BiochemicalReaction38	MMACHC reduces Cbl	SmallMolecule59	SmallMolecule60	
BiochemicalReaction38	MMACHC reduces Cbl	SmallMolecule10	SmallMolecule60	
BiochemicalReaction38	MMACHC reduces Cbl	Protein54	SmallMolecule60	
BiochemicalReaction38	MMACHC reduces Cbl	SmallMolecule58	SmallMolecule60	
BiochemicalReaction38	MMACHC reduces Cbl	SmallMolecule58	Complex28	
BiochemicalReaction38	MMACHC reduces Cbl	Protein54	Complex28	
BiochemicalReaction38	MMACHC reduces Cbl	SmallMolecule10	Complex28	
BiochemicalReaction38	MMACHC reduces Cbl	SmallMolecule59	Complex28	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule59	SmallMolecule60	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule10	SmallMolecule60	
BiochemicalReaction39	MMACHC decyanates CNCbl	Protein54	SmallMolecule60	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule62	SmallMolecule60	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule62	Complex28	
BiochemicalReaction39	MMACHC decyanates CNCbl	Protein54	Complex28	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule10	Complex28	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule59	Complex28	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule62	SmallMolecule63	
BiochemicalReaction39	MMACHC decyanates CNCbl	Protein54	SmallMolecule63	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule10	SmallMolecule63	
BiochemicalReaction39	MMACHC decyanates CNCbl	SmallMolecule59	SmallMolecule63	
BiochemicalReaction4	CYB5R3:FAD reduces CYB5A:ferriheme to CYB5A:heme	SmallMolecule10	Complex1	
BiochemicalReaction4	CYB5R3:FAD reduces CYB5A:ferriheme to CYB5A:heme	Complex2	Complex1	
BiochemicalReaction4	CYB5R3:FAD reduces CYB5A:ferriheme to CYB5A:heme	SmallMolecule11	Complex1	
BiochemicalReaction4	CYB5R3:FAD reduces CYB5A:ferriheme to CYB5A:heme	SmallMolecule11	SmallMolecule12	
BiochemicalReaction4	CYB5R3:FAD reduces CYB5A:ferriheme to CYB5A:heme	Complex2	SmallMolecule12	
BiochemicalReaction4	CYB5R3:FAD reduces CYB5A:ferriheme to CYB5A:heme	SmallMolecule10	SmallMolecule12	
BiochemicalReaction40	MMACHC:cob(II)alamin binds MMADHC	Complex28	Complex29	
BiochemicalReaction40	MMACHC:cob(II)alamin binds MMADHC	Protein55	Complex29	
BiochemicalReaction41	cob(II)alamin dissociates from MMACHC:MMADHC	Complex29	SmallMolecule61	
BiochemicalReaction41	cob(II)alamin dissociates from MMACHC:MMADHC	Complex29	Complex30	
BiochemicalReaction42	cob(II)alamin binds to MTRR:MTR	SmallMolecule61	Complex34	
BiochemicalReaction42	cob(II)alamin binds to MTRR:MTR	Complex31	Complex34	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule59	SmallMolecule60	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule10	SmallMolecule60	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule64	SmallMolecule60	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	Complex34	SmallMolecule60	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	Complex34	Complex36	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule64	Complex36	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule10	Complex36	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule59	Complex36	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	Complex34	SmallMolecule66	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule64	SmallMolecule66	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule10	SmallMolecule66	
BiochemicalReaction43	MTRR reduces cob(II)alamin to meCbl	SmallMolecule59	SmallMolecule66	
BiochemicalReaction44	Methionine is reformed	Complex36	Complex38	
BiochemicalReaction44	Methionine is reformed	SmallMolecule67	Complex38	
BiochemicalReaction44	Methionine is reformed	SmallMolecule67	SmallMolecule69	
BiochemicalReaction44	Methionine is reformed	Complex36	SmallMolecule69	
BiochemicalReaction45	MTR transfers CH3 group from MTHF to cob(I)alamin	SmallMolecule70	SmallMolecule71	
BiochemicalReaction45	MTR transfers CH3 group from MTHF to cob(I)alamin	Complex38	SmallMolecule71	
BiochemicalReaction45	MTR transfers CH3 group from MTHF to cob(I)alamin	Complex38	Complex36	
BiochemicalReaction45	MTR transfers CH3 group from MTHF to cob(I)alamin	SmallMolecule70	Complex36	
BiochemicalReaction46	MMADHC targets cytosolic cob(II)alamin for entry to mitochondria	Complex29	SmallMolecule72	
BiochemicalReaction46	MMADHC targets cytosolic cob(II)alamin for entry to mitochondria	Complex29	Complex30	
BiochemicalReaction47	Unknown reductase reduces cob(II)alamin to cob(I)alamin	SmallMolecule72	SmallMolecule74	
BiochemicalReaction47	Unknown reductase reduces cob(II)alamin to cob(I)alamin	SmallMolecule73	SmallMolecule74	
BiochemicalReaction47	Unknown reductase reduces cob(II)alamin to cob(I)alamin	SmallMolecule73	SmallMolecule75	
BiochemicalReaction47	Unknown reductase reduces cob(II)alamin to cob(I)alamin	SmallMolecule72	SmallMolecule75	
BiochemicalReaction47	Unknown reductase reduces cob(II)alamin to cob(I)alamin	SmallMolecule73	SmallMolecule76	
BiochemicalReaction47	Unknown reductase reduces cob(II)alamin to cob(I)alamin	SmallMolecule72	SmallMolecule76	
BiochemicalReaction48	MMAB transfers adenosyl group from ATP to cob(I)alamin	SmallMolecule74	SmallMolecule78	
BiochemicalReaction48	MMAB transfers adenosyl group from ATP to cob(I)alamin	SmallMolecule77	SmallMolecule78	
BiochemicalReaction48	MMAB transfers adenosyl group from ATP to cob(I)alamin	SmallMolecule77	SmallMolecule79	
BiochemicalReaction48	MMAB transfers adenosyl group from ATP to cob(I)alamin	SmallMolecule74	SmallMolecule79	
